prov,station,trend_annual
BC,Abbotsford A,0.27574
BC,Agassiz CDA,0.10415
BC,Agassiz RCS,0.07704
BC,Alberni,0.18193
BC,Armstrong,0.13598
BC,Atlin,0.15668
BC,Baldonnel,-0.00394
BC,Barkerville,0.18408
BC,Beaverdell,-0.03346
BC,Bella Coola,0.16973
BC,Big Creek,-0.07303
BC,Blue River,0.25078
BC,Britannia Beach Furr,0.13315
BC,Burns Lake,0.25894
BC,Cape Scott,0.06443
BC,Cape St James,0.2537
BC,Cariboo Lodge,0.21714
BC,Castlegar A,0.21715
BC,Chatham Point,0.16929
BC,Chilliwack,0.14336
BC,Comox,0.15982
BC,Cortes Island,0.3071
BC,Cowichan Bay Cherry,-0.05191
BC,Cranbrook,0.14739
BC,Creston,0.08206
BC,Cumberland,-0.13334
BC,Darfield,0.17172
BC,Dawson Creek,0.25204
BC,Dease Lake,0.17967
BC,Dryad Point,0.25086
BC,Duncan,0.26552
BC,Estevan Point,0.09172
BC,Fauquier,0.13152
BC,Fernie,0.12723
BC,Fort Nelson,0.2703
BC,Fort St James,0.23208
BC,Fort St John,0.19075
BC,Germansen,0.30536
BC,Glacier,0.08696
BC,Golden,0.19491
BC,Grand Forks,0.15732
BC,Greenwood,0.12873
BC,Hope,0.12963
BC,Houston,0.1735
BC,Ivory Island,0.16821
BC,James Island,-0.03654
BC,Joe Rich Creek,0.24878
BC,Kamloops,0.15111
BC,Kaslo,0.15529
BC,Kelowna,0.26167
BC,Kemano,0.21117
BC,Keremeos,0.05165
BC,Kimberley,0.21186
BC,Kitimat,0.33013
BC,Kitimat Townsite,0.21535
BC,Laidlaw,0.28125
BC,Langara,0.08266
BC,Lytton,0.14793
BC,Mackenzie,0.40243
BC,Masset A,0.03794
BC,McBride,0.13431
BC,McCulloch,0.06072
BC,McInnes Island,0.1728
BC,Merritt,0.38296
BC,Mica Dam,0.33577
BC,Muncho Lake A,0.54647
BC,Nakusp,0.33758
BC,Nanaimo A,0.18691
BC,Nanaimo Departure Ba,0.03923
BC,Nass Camp,0.27294
BC,Nelson,0.15196
BC,New Denver,0.32136
BC,New Hazelton,-0.00243
BC,New Westminster,0.08356
BC,Ocean Falls,-0.12078
BC,Okanagan Centre,0.17903
BC,Oliver,0.25532
BC,Oliver Stp,0.1583
BC,Ootsa Lake Skins Lak,0.13505
BC,Osoyoos,0.0407
BC,Pachena Point,0.11149
BC,Pemberton Airport CS,0.17091
BC,Penticton,0.11444
BC,Pitt Polder,0.20281
BC,Port Alice,0.07021
BC,Port Hardy,0.15639
BC,Powell River,0.0719
BC,Powell River A,0.14081
BC,Prince George,0.17291
BC,Prince Rupert,0.14064
BC,Princeton,0.13108
BC,Quatsino,0.10057
BC,Quesnel,0.14824
BC,Quinsam River,0.20627
BC,Revelstoke,0.11656999999999999
BC,Saanichton CDA,0.09448
BC,Salmon Arm,0.02646
BC,Saltspring,0.18391
BC,Sandspit,0.21359
BC,Saturna Capmon,0.10474
BC,Shawnigan Lake,0.12433
BC,Smithers,0.16797
BC,South Slocan,-0.02843
BC,Squamish,0.14739
BC,Stave Falls,0.03277
BC,Stewart,0.11029
BC,Summerland,0.10607
BC,Tatlayoko Lake,-0.00343
BC,Terrace,0.12569
BC,Tofino A,0.17255
BC,Ucluelet Kennedy Cam,0.08757
BC,Vancouver,0.17943
BC,Vancouver Harbour CS,0.17197
BC,Vavenby,0.09738
BC,Vernon,0.13713
BC,Vernon Bella Vista,0.15375
BC,Victoria,0.09387
BC,Victoria Gonzales CS,-0.03536
BC,Victoria University,-0.28083
BC,Warfield,0.03801
BC,Wasa,0.28739
BC,Westwold,0.08576
BC,White Rock Campbell,0.1711
BC,Williams Lake,0.13883
BC,Yoho Park,0.35277
YT,Burwash,0.43971
YT,Carmacks,0.5903
YT,Dawson,0.18969
YT,Faro (Aut),0.34089
YT,Haines Junction,0.33017
YT,Komakuk Beach,0.26609
YT,Mayo,0.30078
YT,Old Crow,0.59462
YT,Pelly Ranch,0.61588
YT,Shingle Point,0.51192
YT,Teslin,0.2495
YT,Watson Lake,0.18822
YT,Whitehorse,0.44365
YT,Whitehorse A,0.23187
NT,Cape Parry,0.36948
NT,Deline CS,0.7548
NT,Fort Good Hope,0.49159
NT,Fort Good Hope 2,-0.07388
NT,Fort Liard,0.39648
NT,Fort McPherson,0.20821
NT,Fort Providence,0.43033
NT,Fort Reliance,0.34416
NT,Fort Resolution,0.21055
NT,Fort Simpson,0.29772
NT,Fort Smith,0.39905
NT,Hay River,0.30037
NT,Inuvik,0.71397
NT,Mould Bay,0.38541
NT,Norman Wells,0.36825
NT,Paulatuk,0.41252
NT,Sachs Harbour,0.5762
NT,Tuktoyaktuk,0.52753
NT,Tulita A,0.22003
NT,Wrigley A,0.33247
NT,Yellowknife,0.34078
NT,Yellowknife Hydro,0.20858
NT,Yohin,0.25354
NU,Alert,0.22717
NU,Arctic Bay,-0.03092
NU,Baker Lake,0.32139
NU,Brevoort Island,0.21141
NU,Cambridge Bay,0.35406
NU,Cape Dorset,0.28775
NU,Cape Dyer,0.15498
NU,Cape Hooper,0.29103
NU,Chesterfield,0.16276
NU,Clyde,0.26881
NU,Coral Harbour,0.24394
NU,Dewar Lakes,0.22952
NU,Ennadai Lake,0.32035
NU,Eureka,0.30722
NU,Fox Five,0.23771
NU,Gjoa Haven Climate,0.76867
NU,Hall Beach,0.37038
NU,Iqaluit,0.16514
NU,Kugluktuk,0.28763
NU,Longstaff Bluff,0.29794
NU,Lupin,0.47221
NU,Kugaaruk Climate,0.49594
NU,Pond Inlet,0.14514
NU,Rankin Inlet A,0.61538
NU,Resolute,0.33996
NU,Resolution Island,0.01107
NU,Shepherd Bay,0.26062
NU,Taloyoak A,0.75038
AB,Andrew,-0.07151
AB,Athabasca,0.15931
AB,Banff,0.15891
AB,Beaverlodge,0.08296
AB,Bow Valley,0.14871
AB,Brooks,0.10177
AB,Brooks AHRC,-0.13511
AB,Brownfield,0.33961
AB,Caldwell,0.17795
AB,Calgary,0.13035
AB,Calmar,0.19557
AB,Campsie,0.12419
AB,Camrose,0.34994
AB,Cardston,0.16991
AB,Carway,0.09977
AB,Cleardale,0.51178
AB,Cold Lake,0.30252
AB,Coronation,0.36282
AB,Edmonton,0.12129
AB,Edmonton Blatchford,0.01087
AB,Edmonton Namao A,0.30377
AB,Edson A,0.10634
AB,Elk Island Nat Park,0.34291
AB,Elk Point,0.20955
AB,Empress,0.2484
AB,Entrance,0.02798
AB,Fairview,0.29299
AB,Foremost,0.30376
AB,Fort Assiniboine,0.20773
AB,Fort Chipewyan,0.16014
AB,Fort Macleod,0.23425
AB,Fort McMurray,0.31092
AB,Fort Saskatchewan,0.26954
AB,Fort Vermilion,0.26845
AB,Gleichen,0.12284
AB,Grande Prairie,0.24964
AB,High Level,0.33578
AB,High Prairie,0.06505
AB,High River,0.0963
AB,Hillsdown,0.09185
AB,Hughenden,5.2e-4
AB,Jasper,0.17146
AB,Jenner,0.22828
AB,Kananaskis,0.16357
AB,Keg River,0.13741
AB,Lac La Biche,0.21559
AB,Lacombe,0.17105
AB,Lake Louise,0.03119
AB,Lethbridge,0.155
AB,Lethbridge A,0.18379
AB,Masinasin,-0.31494
AB,Medicine Hat,0.17457
AB,Nordegg,0.25232
AB,Onefour CDA,0.13667
AB,Olds,0.13109
AB,Peace River,0.09131
AB,Pekisko,0.0833
AB,Pincher Creek,0.1315
AB,Ranfurly,0.25144
AB,Red Deer,0.24214
AB,Red Deer A,0.15045
AB,Rocky Mtn House,0.10539
AB,Schuler,-0.23079
AB,Simonette,0.02007
AB,Sion,0.05008
AB,Slave Lake,0.12282
AB,Stettler North,0.1785
AB,Suffield A,0.2673
AB,Taber,0.21806
AB,Three Hills,0.10383
AB,Vauxhall,0.16379
AB,Vegreville,0.31894
AB,Viking,0.1406
AB,Wastina Hemaruka,0.02613
AB,Waterton Park Gate,0.16706
AB,Wetaskiwin,0.12492
AB,Whitecourt,0.44261
SK,Abbey,0.29871
SK,Aneroid,0.12978
SK,Assiniboia,0.27744
SK,Beechy,0.06042
SK,Biggar,0.07045
SK,Broadview,0.15767
SK,Buffalo Narrows,0.39124
SK,Carlyle,0.24685000000000001
SK,Caron,0.07748
SK,Ceylon,0.52771
SK,Chaplin,0.24759
SK,Coderre,0.41416
SK,Collins Bay,0.29178
SK,Coronach,0.17382
SK,Cote,0.08477
SK,Cupar,0.21397
SK,Cypress Hills,-0.03756
SK,Davidson,-0.07873
SK,Dundurn,0.06019
SK,Eastleigh,0.48084
SK,Elbow,0.27286
SK,Estevan,0.23791
SK,Fort Qu'Appelle,0.02475
SK,Gravelbourg,0.04313
SK,Hudson Bay,0.2086
SK,Indian Head,0.18462
SK,Island Falls,0.1736
SK,Kelliher,0.17984
SK,Key Lake,0.12352
SK,Kindersley,0.16877
SK,Kipling,0.21198
SK,Klintonel,0.05819
SK,La Ronge,0.24938
SK,Last Mountain CS,-0.07986
SK,Leader,0.06852
SK,Loon Lake,0.24068
SK,Lumsden,0.06077
SK,Mankota,0.18454
SK,Maple Creek,0.09622
SK,Meadow Lake,0.19201
SK,Melfort,0.1143
SK,Midale,0.12754
SK,Moose Jaw,0.08796
SK,Moosomin,0.18833
SK,Muenster,0.17676
SK,Nashlyn,-0.11822
SK,Nipawin,0.08556
SK,Nokomis,0.14768
SK,Northbattleford,0.10677
SK,Outlook,0.19342
SK,Paswegin,0.48859
SK,Pelly,0.4376
SK,Pilger,0.11373
SK,Poplar River,0.23477
SK,Prince Albert,0.1715
SK,Qu'Appelle,0.13891
SK,Regina,0.17618
SK,Rockglen (Aut),0.20506
SK,Rosetown,0.17374
SK,Saskatoon,0.17991
SK,Scott,0.08354
SK,Semans,0.20504
SK,Shaunavon,0.12066
SK,Stony Rapids,0.22989
SK,Swift Current,0.13017
SK,Swift Current CDA,0.16402
SK,Tugaske,0.19461
SK,Uranium City,0.16664
SK,Val Marie,0.17265
SK,Waseca,0.18424
SK,Waskesiu Lake,0.41286
SK,Watrous,0.25903
SK,Weyburn,0.15144
SK,Whitesand-Southend,0.21145
SK,Whitewood,0.16524
SK,Wynyard,0.19834
SK,Yellow Grass,0.1327
SK,Yorkton,0.17206
MB,Altona,0.50712
MB,Arborg,0.39736
MB,Berens River,0.06014
MB,Birtle,0.10052
MB,Brandon,0.11226
MB,Brochet,0.3894
MB,Carberry,0.12478
MB,Carman,0.19182
MB,Churchill,0.18288
MB,Cross Lake Jenpeg,0.23645
MB,Cypress River,0.30831
MB,Dauphin,0.17216
MB,Deerwood RCS,0.3797
MB,Emerson,0.16999
MB,Fisher Branch,0.43504
MB,Flin Flon,0.31274
MB,Gilbert Plains,0.21269
MB,Gillam,0.16813
MB,Gimli,0.1482
MB,Grand Rapids,0.16113
MB,Great Falls,0.11776
MB,Gretna (Aut),0.08826
MB,Hamiota,0.1088
MB,Indian Bay,0.12179
MB,Island Lake A,0.36047
MB,Lynn Lake,0.15736
MB,McCreary,0.23138
MB,Melita,0.29496
MB,Minnedosa,0.19257
MB,Morden Exp Farm,0.11161
MB,Morris,-0.01489
MB,Ninette,0.08285
MB,Norway House,0.15199
MB,Pilot Mound,0.09704
MB,Pinawa,0.2632
MB,Portage La Prairie,0.14119
MB,Portage Southport,0.2052
MB,Roblin,0.21802
MB,Russell,0.21093
MB,Shoal Lake CS,0.158
MB,Sprague,0.26889
MB,Swan River,0.16608
MB,The Pas,0.08731
MB,Thompson,0.2269
MB,Virden,0.27958
MB,Wasagaming,0.25629
MB,Winnipeg,0.15908
ON,Amherstburg,0.27474
ON,Armstrong,0.17708
ON,Atikokan,0.10208
ON,Bancroft,0.12088
ON,Beatrice,0.05657
ON,Belleville,0.15497
ON,Big Trout Lake,0.2929
ON,Biscotasing,-0.02692
ON,Brantford,0.11212
ON,Brockville,0.18046
ON,Brucefield,0.13395
ON,Burlington,0.22852
ON,Cameron Falls,0.04682
ON,Chapleau,0.19578
ON,Chatham,0.15762
ON,Chatsworth,0.32073
ON,Cochrane,0.10613
ON,Collingwood,0.06676
ON,Coniston,-0.009
