"station","prov","year","annual","winter","spring","summer","autumn"
"AGASSIZ","BC",1892,9.78920706148314,2.23667744327386,9.71911653371023,17.0200202481317,10.3196188613914
"AGASSIZ","BC",2017,10.8700940059648,3.99468932712971,10.3992511432269,17.8302415154227,11.2484395073407
"ALERT","NU",1949,-18.7253862346973,-32.9149732620321,-23.506542464268,0.984277066731895,-19.542804693112
"ALERT","NU",2019,-16.4961321422766,-29.41637002155,-21.9643379971987,1.8036829805285,-16.1855535158433
"AMOS","QC",1913,1.04556632200831,-14.4619007316705,-0.0432260118243484,14.9461057398324,3.44418259304926
"AMOS","QC",2012,1.22911432505664,-15.1818157801967,0.522293212041099,15.7326760109614,4.16379376710494
"ANEROID","SK",1921,3.4481530759651,-11.6326570435076,3.42850560984801,17.1152621124042,4.6149699601801
"ANEROID","SK",2006,4.5512985034097,-9.65597150508329,5.01646624306247,18.1556272558713,4.92013927171276
"ANNAPOLIS ROYAL","NS",1914,6.56830492253847,-5.10741110391151,4.57936819048277,16.9183343013812,8.92233962888767
"ANNAPOLIS ROYAL","NS",2007,7.17640649749578,-2.48915617279215,5.20265194345931,17.3988664979966,9.76902733100147
"ARBORG","MB",1960,0.178555171948219,-19.5023607184847,0.62413153687514,16.5910371566859,2.73651447311284
"ARBORG","MB",2017,2.44348805138195,-14.4240566023975,2.47116806433016,17.8914221698046,4.26067700923944
"ARCTIC BAY","NU",1937,-15.4135237639232,-30.3514897670075,-19.8512193239156,2.10325320948553,-13.4369566078622
"ARCTIC BAY","NU",2016,-14.2608348873545,-28.1387855159072,-19.1403152347067,2.85888931347262,-12.4273240710038
"AROOSTOOK","NB",1927,3.64340123248602,-11.3553075014969,2.14653404826708,17.3815177026486,6.00989846490823
"AROOSTOOK","NB",2014,4.79943659222383,-9.43901902562411,4.20606295154305,17.6268353950722,7.17931876821414
"ATHABASCA","AB",1918,0.568081168572718,-14.6412987801479,0.993035376507336,13.7685033272927,1.653857378433
"ATHABASCA","AB",2012,2.58559156435148,-12.4644060659657,3.73997823773909,15.958203641937,3.19074163366707
"ATIKOKAN","ON",1917,1.9481284996883,-15.0273329252436,1.58482865445134,15.9983346639996,4.22474121199052
"ATIKOKAN","ON",2019,2.64140753685511,-13.4541301210417,2.68877491718442,17.7367397889401,4.853854863058
"ATLIN","BC",1904,-0.347443376105762,-14.3057871829113,-0.712803382913389,11.0546938773545,1.46719320631698
"ATLIN","BC",2019,1.34709523917216,-10.2434593019386,1.10650947714923,12.5012941384376,1.96413890944225
"BAGOTVILLE","QC",1883,0.690583875909013,-15.7707640053989,-0.467146701418649,15.1335449425388,3.49744352441368
"BAGOTVILLE","QC",2019,3.74189101005226,-11.8476648748711,2.93912071038029,17.8936540318415,6.19708887294203
"BAIE COMEAU","QC",1965,1.7523510328023,-12.4067327158595,0.338382209240024,14.6863683140133,4.43499974162304
"BAIE COMEAU","QC",2019,3.20991891717276,-10.2801876949259,1.66065113004739,15.7336928728158,5.85859841578019
"BAKER LAKE","NU",1948,-12.7204708084661,-32.4539749336749,-17.3967687139749,7.65586239923378,-9.02572807649544
"BAKER LAKE","NU",2018,-10.2394973883113,-27.9649071448175,-15.8314749780509,9.7292122276319,-6.38080618360065
"BANFF","AB",1888,1.57382331141565,-9.25450047123961,1.26112921446619,11.9146020799771,2.25147939084364
"BANFF","AB",2019,3.13476501656502,-7.58012164606971,3.03250357781962,13.5868357968582,3.46725428212501
"BARKERVILLE","BC",1887,0.530460067440185,-9.02046851089051,0.197457501704474,10.3117339569332,0.708871176977272
"BARKERVILLE","BC",2009,2.27578342679254,-7.09909633302288,1.47640936272357,11.7530941087822,2.69916417592909
"BATHURST","NB",1921,3.34194760455211,-11.128874353526,1.59649410710466,16.8891278135048,6.00067708111337
"BATHURST","NB",2019,4.81593126610213,-8.6452009648372,3.07058836648187,17.6394895498392,7.21360458205037
"BATTLE HARBOUR","NL",1883,-0.206278085251659,-12.6684125788677,-3.31566934450608,11.3391646946199,3.72376527981359
